Greece ;WESTERN EUROPE                     ;10688058;131940;81,0;;;;;;
Gibraltar ;WESTERN EUROPE                     ;27928;7;3989,7;;;;;;
Ghana ;SUB-SAHARAN AFRICA                 ;22409572;239460;93,6;;;;;;
Germany ;WESTERN EUROPE                     ;82422299;357021;230,9;;;;;;
Georgia ;C.W. OF IND. STATES ;4661473;69700;66,9;;;;;;
Gaza Strip ;NEAR EAST                          ;1428757;360;3968,8;;;;;;
Gambia, The ;SUB-SAHARAN AFRICA                 ;1641564;11300;145,3;;;;;;
Gabon ;SUB-SAHARAN AFRICA                 ;1424906;267667;5,3;;;;;;
French Polynesia ;OCEANIA                            ;274578;4167;65,9;;;;;;
French Guiana ;LATIN AMER. & CARIB    ;199509;91000;2,2;;;;;;
France ;WESTERN EUROPE                     ;60876136;547030;111,3;;;;;;
Finland ;WESTERN EUROPE                     ;5231372;338145;15,5;;;;;;
Fiji ;OCEANIA                            ;905949;18270;49,6;;;;;;
Faroe Islands ;WESTERN EUROPE                     ;47246;1399;33,8;;;;;;
Ethiopia ;SUB-SAHARAN AFRICA                 ;74777981;1127127;66,3;;;;;;
Estonia ;BALTICS                            ;1324333;45226;29,3;;;;;;
Eritrea ;SUB-SAHARAN AFRICA                 ;4786994;121320;39,5;;;;;;
Equatorial Guinea ;SUB-SAHARAN AFRICA                 ;540109;28051;19,3;;;;;;
El Salvador ;LATIN AMER. & CARIB    ;6822378;21040;324,3;;;;;;
Egypt ;NORTHERN AFRICA                    ;78887007;1001450;78,8;;;;;;
Ecuador ;LATIN AMER. & CARIB    ;13547510;283560;47,8;;;;;;
East Timor ;ASIA (EX. NEAR EAST)         ;1062777;15007;70,8;;;;;;
Dominican Republic ;LATIN AMER. & CARIB    ;9183984;48730;188,5;;;;;;
Dominica ;LATIN AMER. & CARIB    ;68910;754;91,4;;;;;;
Djibouti ;SUB-SAHARAN AFRICA                 ;486530;23000;21,2;;;;;;
Denmark ;WESTERN EUROPE                     ;5450661;43094;126,5;;;;;;
Czech Republic ;EASTERN EUROPE                     ;10235455;78866;129,8;;;;;;
Cyprus ;NEAR EAST                          ;784301;9250;84,8;;;;;;
Cuba ;LATIN AMER. & CARIB    ;11382820;110860;102,7;;;;;;
