Portugal ;WESTERN EUROPE                     ;10605870;92391;114,8;;;;;;
Puerto Rico ;LATIN AMER. & CARIB    ;3927188;13790;284,8;;;;;;
Qatar ;NEAR EAST                          ;885359;11437;77,4;;;;;;
Reunion ;SUB-SAHARAN AFRICA                 ;787584;2517;312,9;;;;;;
Romania ;EASTERN EUROPE                     ;22303552;237500;93,9;;;;;;
Russia ;C.W. OF IND. STATES ;142893540;17075200;8,4;;;;;;
Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;328,4;;;;;;
Saint Helena ;SUB-SAHARAN AFRICA                 ;7502;413;18,2;;;;;;
Saint Kitts & Nevis ;LATIN AMER. & CARIB    ;39129;261;149,9;;;;;;
Saint Lucia ;LATIN AMER. & CARIB    ;168458;616;273,5;;;;;;
Saint Vincent and the Grenadines ;LATIN AMER. & CARIB    ;117848;389;303,0;;;;;;
Samoa ;OCEANIA                            ;176908;2944;60,1;;;;;;
San Marino ;WESTERN EUROPE                     ;29251;61;479,5;;;;;;
Sao Tome & Principe ;SUB-SAHARAN AFRICA                 ;193413;1001;193,2;;;;;;
Saudi Arabia ;NEAR EAST                          ;27019731;1960582;13,8;;;;;;
Senegal ;SUB-SAHARAN AFRICA                 ;11987121;196190;61,1;;;;;;
Serbia ;EASTERN EUROPE                     ;9396411;88361;106,3;;;;;;
Seychelles ;SUB-SAHARAN AFRICA                 ;81541;455;179,2;;;;;;
Sierra Leone ;SUB-SAHARAN AFRICA                 ;6005250;71740;83,7;;;;;;
Singapore ;ASIA (EX. NEAR EAST)         ;4492150;693;6482,2;;;;;;
Slovakia ;EASTERN EUROPE                     ;5439448;48845;111,4;;;;;;
Slovenia ;EASTERN EUROPE                     ;2010347;20273;99,2;;;;;;
Solomon Islands ;OCEANIA                            ;552438;28450;19,4;;;;;;
Somalia ;SUB-SAHARAN AFRICA                 ;8863338;637657;13,9;;;;;;
South Africa ;SUB-SAHARAN AFRICA                 ;44187637;1219912;36,2;;;;;;
Spain ;WESTERN EUROPE                     ;40397842;504782;80,0;;;;;;
Sri Lanka ;ASIA (EX. NEAR EAST)         ;20222240;65610;308,2;;;;;;
St Pierre & Miquelon ;NORTHERN AMERICA                   ;7026;242;29,0;;;;;;
Sudan ;SUB-SAHARAN AFRICA                 ;41236378;2505810;16,5;;;;;;
Suriname ;LATIN AMER. & CARIB    ;439117;163270;2,7;;;;;;
Swaziland ;SUB-SAHARAN AFRICA                 ;1136334;17363;65,5;;;;;;
Sweden ;WESTERN EUROPE                     ;9016596;449964;20,0;;;;;;
Switzerland ;WESTERN EUROPE                     ;7523934;41290;182,2;;;;;;
Syria ;NEAR EAST                          ;18881361;185180;102,0;;;;;;
Taiwan ;ASIA (EX. NEAR EAST)         ;23036087;35980;640,3;;;;;;
Tajikistan ;C.W. OF IND. STATES ;7320815;143100;51,2;;;;;;
Tanzania ;SUB-SAHARAN AFRICA                 ;37445392;945087;39,6;;;;;;
Thailand ;ASIA (EX. NEAR EAST)         ;64631595;514000;125,7;;;;;;
Togo ;SUB-SAHARAN AFRICA                 ;5548702;56785;97,7;;;;;;
Tonga ;OCEANIA                            ;114689;748;153,3;;;;;;
Trinidad & Tobago ;LATIN AMER. & CARIB    ;1065842;5128;207,9;;;;;;
Tunisia ;NORTHERN AFRICA                    ;10175014;163610;62,2;;;;;;
Turkey ;NEAR EAST                          ;70413958;780580;90,2;;;;;;
Turkmenistan ;C.W. OF IND. STATES ;5042920;488100;10,3;;;;;;
Turks & Caicos Is ;LATIN AMER. & CARIB    ;21152;430;49,2;;;;;;
Tuvalu ;OCEANIA                            ;11810;26;454,2;;;;;;
Uganda ;SUB-SAHARAN AFRICA                 ;28195754;236040;119,5;;;;;;
Ukraine ;C.W. OF IND. STATES ;46710816;603700;77,4;;;;;;
United Arab Emirates ;NEAR EAST                          ;2602713;82880;31,4;;;;;;
United Kingdom ;WESTERN EUROPE                     ;60609153;244820;247,6;;;;;;
United States ;NORTHERN AMERICA                   ;298444215;9631420;31,0;;;;;;
Uruguay ;LATIN AMER. & CARIB    ;3431932;176220;19,5;;;;;;
Uzbekistan ;C.W. OF IND. STATES ;27307134;447400;61,0;;;;;;
Vanuatu ;OCEANIA                            ;208869;12200;17,1;;;;;;
Venezuela ;LATIN AMER. & CARIB    ;25730435;912050;28,2;;;;;;
Vietnam ;ASIA (EX. NEAR EAST)         ;84402966;329560;256,1;;;;;;
Virgin Islands ;LATIN AMER. & CARIB    ;108605;1910;56,9;;;;;;
Wallis and Futuna ;OCEANIA                            ;16025;274;58,5;;;;;;
West Bank ;NEAR EAST                          ;2460492;5860;419,9;;;;;;
Western Sahara ;NORTHERN AFRICA                    ;273008;266000;1,0;;;;;;
Yemen ;NEAR EAST                          ;21456188;527970;40,6;;;;;;
Zambia ;SUB-SAHARAN AFRICA                 ;11502010;752614;15,3;;;;;;
Zimbabwe ;SUB-SAHARAN AFRICA                 ;12236805;390580;31,3;;;;;;
